,醫事機構名稱,藥局調劑慢性病連續處方箋之案件數,醫院及藥局調劑慢性病連續處方箋案件數,慢性病連續處方箋釋出率,所屬分區業務組指標值,全國指標值,year,quarter
21,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),47236,138743,0.3405,0.3835,0.4262,111,2
22,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),17372,80531,0.2157,0.2847,0.3153,103,4
23,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),29022,124645,0.2328,0.303,0.3481,107,4
24,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),23592,110236,0.214,0.2948,0.3431,106,3
25,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),19246,89375,0.2153,0.2867,0.327,104,4
26,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),22584,104595,0.2159,0.2944,0.3408,106,2
27,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),18819,83486,0.2254,0.2862,0.3235,104,3
28,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),33227,137674,0.2413,0.309,0.351,108,4
29,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),46052,140941,0.3267,0.376,0.4173,112,1
30,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),21897,100647,0.2176,0.291,0.3377,105,4
31,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),39645,134024,0.2958,0.35,0.3945,109,2
32,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),24632,111910,0.2201,0.297,0.3473,106,4
33,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),22241,102169,0.2177,0.2946,0.3413,106,1
34,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),19958,94408,0.2114,0.2903,0.3355,105,2
35,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),16345,77399,0.2112,0.2822,0.313,103,3
36,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),46324,141481,0.3274,0.3762,0.4166,111,4
37,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),47194,144386,0.3269,0.3773,0.4179,112,2
38,衛生福利部南投醫院,26707,68056,0.3924,0.3587,0.4179,112,2
39,衛生福利部南投醫院,27518,68652,0.4008,0.3586,0.4166,111,4
40,衛生福利部南投醫院,7712,44220,0.1744,0.2658,0.313,103,3
41,衛生福利部南投醫院,21510,64800,0.3319,0.3325,0.3868,109,4
42,衛生福利部南投醫院,11221,50513,0.2221,0.2908,0.3355,105,2
43,衛生福利部南投醫院,14695,56491,0.2601,0.3041,0.3473,106,4
44,衛生福利部南投醫院,13053,53452,0.2442,0.2963,0.3413,106,1
45,衛生福利部南投醫院,12490,52894,0.2361,0.2934,0.3377,105,4
46,衛生福利部南投醫院,27116,66023,0.4107,0.3672,0.4262,111,2
47,衛生福利部南投醫院,18133,64026,0.2832,0.303,0.3538,108,3
48,衛生福利部南投醫院,10235,49809,0.2055,0.278,0.3235,104,3
49,衛生福利部南投醫院,24832,66276,0.3747,0.3566,0.4129,110,4
50,衛生福利部南投醫院,11221,52287,0.2146,0.2824,0.327,104,4
51,衛生福利部南投醫院,21679,64331,0.337,0.3328,0.3861,109,3
52,衛生福利部南投醫院,13352,54337,0.2457,0.2966,0.3408,106,2
53,衛生福利部南投醫院,24245,64465,0.3761,0.3534,0.4115,110,3
54,衛生福利部南投醫院,14208,55811,0.2546,0.2996,0.3431,106,3
55,衛生福利部南投醫院,16289,59737,0.2727,0.2989,0.3459,108,1
56,國立臺灣大學醫學院附設醫院兒童醫院,377,14824,0.0254,0.3908,0.3477,107,2
57,國立臺灣大學醫學院附設醫院兒童醫院,500,15773,0.0317,0.4311,0.3839,109,1
58,國立臺灣大學醫學院附設醫院兒童醫院,530,14044,0.0377,0.4607,0.4115,110,3
59,國立臺灣大學醫學院附設醫院兒童醫院,248,13966,0.0178,0.3593,0.3235,104,3
60,國立臺灣大學醫學院附設醫院兒童醫院,492,16261,0.0303,0.4311,0.3868,109,4
61,國立臺灣大學醫學院附設醫院兒童醫院,605,13114,0.0461,0.4875,0.4263,110,2
62,國立臺灣大學醫學院附設醫院兒童醫院,536,15330,0.035,0.4651,0.4176,111,3
63,國立臺灣大學醫學院附設醫院兒童醫院,344,15093,0.0228,0.3941,0.35,107,3
64,國立臺灣大學醫學院附設醫院兒童醫院,333,16158,0.0206,0.3849,0.3459,108,1
65,國立臺灣大學醫學院附設醫院兒童醫院,407,16335,0.0249,0.3971,0.3538,108,3
66,國立臺灣大學醫學院附設醫院兒童醫院,582,15734,0.037,0.4595,0.4108,111,1
67,國立臺灣大學醫學院附設醫院兒童醫院,340,14410,0.0236,0.3753,0.3355,105,2
68,國立臺灣大學醫學院附設醫院兒童醫院,375,15160,0.0247,0.3783,0.3377,105,4
69,國立臺灣大學醫學院附設醫院兒童醫院,368,15951,0.0231,0.391,0.3496,108,2
70,國立臺灣大學醫學院附設醫院兒童醫院,518,16808,0.0308,0.4446,0.3986,110,1
71,國立臺灣大學醫學院附設醫院兒童醫院,515,13966,0.0369,0.4783,0.4262,111,2
72,國立臺灣大學醫學院附設醫院兒童醫院,154,13778,0.0112,0.3595,0.3261,104,1
73,國立臺灣大學醫學院附設醫院兒童醫院,373,14860,0.0251,0.3915,0.3473,106,4
74,國立臺灣大學醫學院附設醫院兒童醫院,319,14862,0.0215,0.3717,0.3331,105,1
75,國立臺灣大學醫學院附設醫院兒童醫院,212,13870,0.0153,0.3557,0.3211,104,2
76,國立臺灣大學醫學院附設醫院兒童醫院,347,15804,0.022,0.3918,0.3481,107,4
77,國立臺灣大學醫學院附設醫院兒童醫院,448,16343,0.0274,0.4296,0.3861,109,3
78,國立臺灣大學醫學院附設醫院兒童醫院,618,15379,0.0402,0.4617,0.4129,110,4
79,國立臺灣大學醫學院附設醫院兒童醫院,394,14620,0.0269,0.3866,0.3431,106,3
80,國立臺灣大學醫學院附設醫院兒童醫院,243,15027,0.0162,0.364,0.327,104,4
81,國立臺灣大學醫學院附設醫院兒童醫院,410,17093,0.024,0.3924,0.351,108,4
82,國立臺灣大學醫學院附設醫院兒童醫院,601,17320,0.0347,0.4686,0.4173,112,1
83,國立臺灣大學醫學院附設醫院兒童醫院,344,14587,0.0236,0.3834,0.3413,106,1
84,國立臺灣大學醫學院附設醫院兒童醫院,462,14871,0.0311,0.4408,0.3945,109,2
85,國立臺灣大學醫學院附設醫院兒童醫院,393,15555,0.0253,0.3911,0.3468,107,1
86,國立臺灣大學醫學院附設醫院兒童醫院,390,14430,0.027,0.383,0.3408,106,2
87,國立臺灣大學醫學院附設醫院兒童醫院,303,14179,0.0214,0.3817,0.3402,105,3
88,國立臺灣大學醫學院附設醫院兒童醫院,9,8563,0.0011,0.3435,0.313,103,3
89,國立臺灣大學醫學院附設醫院兒童醫院,97,13617,0.0071,0.3457,0.3153,103,4
90,國立臺灣大學醫學院附設醫院兒童醫院,578,16293,0.0355,0.4677,0.4166,111,4
91,國立臺灣大學醫學院附設醫院兒童醫院,632,17399,0.0363,0.47,0.4179,112,2
92,高雄榮民總醫院臺南分院,11206,28465,0.3937,0.42,0.4179,112,2
93,高雄榮民總醫院臺南分院,3977,15184,0.2619,0.339,0.313,103,3
94,高雄榮民總醫院臺南分院,4343,16071,0.2702,0.3522,0.3355,105,2
95,高雄榮民總醫院臺南分院,7259,20060,0.3619,0.4032,0.3868,109,4
96,高雄榮民總醫院臺南分院,4604,16686,0.2759,0.3563,0.3413,106,1
97,高雄榮民總醫院臺南分院,4832,17755,0.2721,0.3598,0.3473,106,4
98,高雄榮民總醫院臺南分院,4602,17140,0.2685,0.3547,0.3377,105,4
99,高雄榮民總醫院臺南分院,10468,25442,0.4114,0.4277,0.4262,111,2
100,高雄榮民總醫院臺南分院,4499,16503,0.2726,0.3547,0.3408,106,2
101,高雄榮民總醫院臺南分院,5330,18954,0.2812,0.3706,0.3538,108,3
102,高雄榮民總醫院臺南分院,4185,15642,0.2675,0.343,0.3235,104,3
103,高雄榮民總醫院臺南分院,6830,18902,0.3613,0.413,0.3945,109,2
104,高雄榮民總醫院臺南分院,4967,17610,0.2821,0.3625,0.35,107,3
105,高雄榮民總醫院臺南分院,7015,19682,0.3564,0.4065,0.3861,109,3
106,高雄榮民總醫院臺南分院,4533,15375,0.2948,0.3497,0.3261,104,1
107,高雄榮民總醫院臺南分院,4208,16390,0.2567,0.3451,0.327,104,4
108,高雄榮民總醫院臺南分院,4704,17368,0.2708,0.3538,0.3431,106,3
109,高雄榮民總醫院臺南分院,8680,22304,0.3892,0.4219,0.4115,110,3
110,高雄榮民總醫院臺南分院,4248,15525,0.2736,0.3407,0.3153,103,4
111,高雄榮民總醫院臺南分院,4887,17903,0.273,0.3617,0.3481,107,4
112,高雄榮民總醫院臺南分院,4793,17155,0.2794,0.3647,0.3459,108,1
113,高雄榮民總醫院臺南分院,6287,19231,0.3269,0.3986,0.3839,109,1
114,高雄榮民總醫院臺南分院,10535,26080,0.4039,0.4232,0.4176,111,3
115,高雄榮民總醫院臺南分院,10818,27544,0.3928,0.4206,0.4173,112,1
116,高雄榮民總醫院臺南分院,10803,27219,0.3969,0.42,0.4166,111,4
117,衛生福利部臺中醫院,14704,59347,0.2478,0.2571,0.3072,103,1
118,衛生福利部臺中醫院,17114,60240,0.2841,0.2999,0.3468,107,1
119,衛生福利部臺中醫院,21295,62014,0.3434,0.3272,0.3839,109,1
120,衛生福利部臺中醫院,16046,58608,0.2738,0.28,0.3261,104,1
121,衛生福利部臺中醫院,17706,59990,0.2951,0.3032,0.35,107,3
122,衛生福利部臺中醫院,15214,57951,0.2625,0.2742,0.3211,104,2
123,衛生福利部臺中醫院,26240,67309,0.3898,0.3566,0.4129,110,4
124,衛生福利部臺中醫院,25067,64321,0.3897,0.3625,0.4263,110,2
125,衛生福利部臺中醫院,27418,68637,0.3995,0.3615,0.4176,111,3
126,衛生福利部臺中醫院,15312,60410,0.2535,0.2623,0.311,103,2
127,衛生福利部臺中醫院,17265,60324,0.2862,0.3004,0.3477,107,2
128,衛生福利部臺中醫院,25584,65726,0.3893,0.3538,0.4108,111,1
129,衛生福利部臺中醫院,16072,59237,0.2713,0.2909,0.3331,105,1
130,衛生福利部臺中醫院,20213,64504,0.3134,0.3015,0.351,108,4
131,衛生福利部臺中醫院,25157,65089,0.3865,0.3534,0.4115,110,3
132,衛生福利部臺中醫院,16433,59216,0.2775,0.2946,0.3402,105,3
133,衛生福利部臺中醫院,18657,61673,0.3025,0.2981,0.3496,108,2
134,衛生福利部臺中醫院,23793,64805,0.3671,0.3422,0.3986,110,1
135,衛生福利部臺中醫院,26897,66545,0.4042,0.3672,0.4262,111,2
136,衛生福利部臺中醫院,15892,60651,0.262,0.2701,0.3153,103,4
137,衛生福利部臺中醫院,18477,62355,0.2963,0.3014,0.3481,107,4
138,衛生福利部臺中醫院,18329,61006,0.3004,0.2989,0.3459,108,1
139,衛生福利部臺中醫院,17159,60938,0.2816,0.2996,0.3431,106,3
140,衛生福利部臺中醫院,15838,59678,0.2654,0.2824,0.327,104,4
141,衛生福利部臺中醫院,23008,65321,0.3522,0.3328,0.3861,109,3
142,衛生福利部臺中醫院,16673,60241,0.2768,0.2966,0.3408,106,2
143,衛生福利部臺中醫院,19071,62092,0.3071,0.303,0.3538,108,3
144,衛生福利部臺中醫院,15391,58548,0.2629,0.278,0.3235,104,3
145,衛生福利部臺中醫院,26835,68767,0.3902,0.3605,0.4173,112,1
146,衛生福利部臺中醫院,16778,60289,0.2783,0.2934,0.3377,105,4
147,衛生福利部臺中醫院,22150,62631,0.3537,0.3366,0.3945,109,2
148,衛生福利部臺中醫院,17215,61313,0.2808,0.3041,0.3473,106,4
149,衛生福利部臺中醫院,16356,59157,0.2765,0.2963,0.3413,106,1
150,衛生福利部臺中醫院,23073,65214,0.3538,0.3325,0.3868,109,4
151,衛生福利部臺中醫院,15517,57639,0.2692,0.2908,0.3355,105,2
152,衛生福利部臺中醫院,27129,69904,0.3881,0.3587,0.4179,112,2
153,衛生福利部臺中醫院,15820,61270,0.2582,0.2658,0.313,103,3
154,衛生福利部臺中醫院,27181,69370,0.3918,0.3586,0.4166,111,4
155,三軍總醫院澎湖分院附設民眾診療服務處,546,4762,0.1147,0.2822,0.313,103,3
156,三軍總醫院澎湖分院附設民眾診療服務處,1344,5967,0.2252,0.2903,0.3355,105,2
157,三軍總醫院澎湖分院附設民眾診療服務處,3799,13521,0.281,0.3434,0.3868,109,4
158,三軍總醫院澎湖分院附設民眾診療服務處,1808,6984,0.2589,0.2946,0.3413,106,1
159,三軍總醫院澎湖分院附設民眾診療服務處,5574,18097,0.308,0.3773,0.4179,112,2
160,三軍總醫院澎湖分院附設民眾診療服務處,2201,7685,0.2864,0.297,0.3473,106,4
161,三軍總醫院澎湖分院附設民眾診療服務處,1554,6513,0.2386,0.291,0.3377,105,4
162,三軍總醫院澎湖分院附設民眾診療服務處,4927,15792,0.312,0.3835,0.4262,111,2
163,三軍總醫院澎湖分院附設民眾診療服務處,3219,10802,0.298,0.3106,0.3538,108,3
164,三軍總醫院澎湖分院附設民眾診療服務處,4647,15634,0.2972,0.3718,0.4108,111,1
165,三軍總醫院澎湖分院附設民眾診療服務處,685,5477,0.1251,0.2862,0.3235,104,3
166,三軍總醫院澎湖分院附設民眾診療服務處,1936,7235,0.2676,0.2944,0.3408,106,2
167,三軍總醫院澎湖分院附設民眾診療服務處,3814,13316,0.2864,0.3411,0.3861,109,3
168,三軍總醫院澎湖分院附設民眾診療服務處,4288,14471,0.2963,0.3711,0.4115,110,3
169,三軍總醫院澎湖分院附設民眾診療服務處,961,5878,0.1635,0.2867,0.327,104,4
170,三軍總醫院澎湖分院附設民眾診療服務處,2639,9562,0.276,0.3064,0.3459,108,1
171,三軍總醫院澎湖分院附設民眾診療服務處,1970,7334,0.2686,0.2948,0.3431,106,3
172,三軍總醫院澎湖分院附設民眾診療服務處,3547,11837,0.2997,0.3403,0.3839,109,1
173,三軍總醫院澎湖分院附設民眾診療服務處,2556,9243,0.2765,0.303,0.3481,107,4
174,三軍總醫院澎湖分院附設民眾診療服務處,580,4979,0.1165,0.2847,0.3153,103,4
175,三軍總醫院澎湖分院附設民眾診療服務處,1409,5938,0.2373,0.2936,0.3402,105,3
176,三軍總醫院澎湖分院附設民眾診療服務處,5092,16790,0.3033,0.3762,0.4166,111,4
177,三軍總醫院澎湖分院附設民眾診療服務處,5241,17420,0.3009,0.376,0.4173,112,1
178,三軍總醫院澎湖分院附設民眾診療服務處,3399,11682,0.291,0.309,0.351,108,4
179,三軍總醫院澎湖分院附設民眾診療服務處,4743,15808,0.3,0.3786,0.4176,111,3
180,衛生福利部花蓮醫院豐濱原住民分院,24,1090,0.022,0.1962,0.3468,107,1
181,衛生福利部花蓮醫院豐濱原住民分院,8,993,0.0081,0.1655,0.3261,104,1
182,衛生福利部花蓮醫院豐濱原住民分院,20,1062,0.0188,0.2,0.35,107,3
183,衛生福利部花蓮醫院豐濱原住民分院,12,1091,0.011,0.2468,0.3945,109,2
184,衛生福利部花蓮醫院豐濱原住民分院,11,987,0.0111,0.1468,0.3072,103,1
185,衛生福利部花蓮醫院豐濱原住民分院,21,998,0.021,0.1493,0.311,103,2
186,衛生福利部花蓮醫院豐濱原住民分院,26,1052,0.0247,0.1972,0.3477,107,2
187,衛生福利部花蓮醫院豐濱原住民分院,18,1063,0.0169,0.1625,0.3211,104,2
188,衛生福利部花蓮醫院豐濱原住民分院,20,1072,0.0187,0.2105,0.3496,108,2
189,衛生福利部花蓮醫院豐濱原住民分院,6,1074,0.0056,0.2531,0.3986,110,1
190,衛生福利部花蓮醫院豐濱原住民分院,17,1071,0.0159,0.2695,0.4129,110,4
191,衛生福利部花蓮醫院豐濱原住民分院,20,1098,0.0182,0.1745,0.3331,105,1
192,衛生福利部花蓮醫院豐濱原住民分院,10,1087,0.0092,0.2149,0.351,108,4
193,衛生福利部花蓮醫院豐濱原住民分院,21,1022,0.0205,0.2798,0.4176,111,3
194,衛生福利部花蓮醫院豐濱原住民分院,16,1083,0.0148,0.2691,0.4173,112,1
195,衛生福利部花蓮醫院豐濱原住民分院,8,1069,0.0075,0.2761,0.4263,110,2
196,衛生福利部花蓮醫院豐濱原住民分院,21,1059,0.0198,0.2773,0.4166,111,4
197,衛生福利部花蓮醫院豐濱原住民分院,27,1041,0.0259,0.1831,0.3402,105,3
198,衛生福利部花蓮醫院豐濱原住民分院,7,1080,0.0065,0.159,0.3153,103,4
199,衛生福利部花蓮醫院豐濱原住民分院,9,1077,0.0084,0.2006,0.3481,107,4
200,衛生福利部花蓮醫院豐濱原住民分院,17,1113,0.0153,0.2071,0.3459,108,1
201,衛生福利部花蓮醫院豐濱原住民分院,13,1177,0.011,0.2361,0.3839,109,1
202,衛生福利部花蓮醫院豐濱原住民分院,26,1196,0.0217,0.193,0.3431,106,3
203,衛生福利部花蓮醫院豐濱原住民分院,17,1024,0.0166,0.2722,0.4115,110,3
204,衛生福利部花蓮醫院豐濱原住民分院,18,1018,0.0177,0.1714,0.327,104,4
205,衛生福利部花蓮醫院豐濱原住民分院,24,1107,0.0217,0.2422,0.3861,109,3
206,衛生福利部花蓮醫院豐濱原住民分院,18,1176,0.0153,0.1892,0.3408,106,2
207,衛生福利部花蓮醫院豐濱原住民分院,14,1063,0.0132,0.2133,0.3538,108,3
208,衛生福利部花蓮醫院豐濱原住民分院,16,1060,0.0151,0.2691,0.4108,111,1
209,衛生福利部花蓮醫院豐濱原住民分院,18,953,0.0189,0.1677,0.3235,104,3
210,衛生福利部花蓮醫院豐濱原住民分院,23,1059,0.0217,0.2908,0.4262,111,2
211,衛生福利部花蓮醫院豐濱原住民分院,11,1108,0.0099,0.1836,0.3377,105,4
212,衛生福利部花蓮醫院豐濱原住民分院,24,1139,0.0211,0.1955,0.3473,106,4
213,衛生福利部花蓮醫院豐濱原住民分院,11,1180,0.0093,0.1877,0.3413,106,1
214,衛生福利部花蓮醫院豐濱原住民分院,6,1088,0.0055,0.2425,0.3868,109,4
215,衛生福利部花蓮醫院豐濱原住民分院,26,1033,0.0252,0.1771,0.3355,105,2
216,衛生福利部花蓮醫院豐濱原住民分院,15,992,0.0151,0.1545,0.313,103,3
217,衛生福利部花蓮醫院豐濱原住民分院,21,1086,0.0193,0.2701,0.4179,112,2
218,國軍高雄總醫院附設民眾診療服務處,28367,71078,0.3991,0.3773,0.4179,112,2
219,國軍高雄總醫院附設民眾診療服務處,27343,69433,0.3938,0.3762,0.4166,111,4
220,國軍高雄總醫院附設民眾診療服務處,9846,47376,0.2078,0.2822,0.313,103,3
221,國軍高雄總醫院附設民眾診療服務處,11344,49729,0.2281,0.2903,0.3355,105,2
222,國軍高雄總醫院附設民眾診療服務處,13231,53653,0.2466,0.2946,0.3413,106,1
223,國軍高雄總醫院附設民眾診療服務處,14308,54952,0.2604,0.297,0.3473,106,4
224,國軍高雄總醫院附設民眾診療服務處,20622,57002,0.3618,0.35,0.3945,109,2
225,國軍高雄總醫院附設民眾診療服務處,12383,52772,0.2347,0.291,0.3377,105,4
226,國軍高雄總醫院附設民眾診療服務處,27422,69760,0.3931,0.376,0.4173,112,1
227,國軍高雄總醫院附設民眾診療服務處,17939,58375,0.3073,0.309,0.351,108,4
228,國軍高雄總醫院附設民眾診療服務處,11177,49659,0.2251,0.2862,0.3235,104,3
229,國軍高雄總醫院附設民眾診療服務處,13571,54146,0.2506,0.2944,0.3408,106,2
230,國軍高雄總醫院附設民眾診療服務處,11569,50780,0.2278,0.2867,0.327,104,4
231,國軍高雄總醫院附設民眾診療服務處,14036,55073,0.2549,0.2948,0.3431,106,3
232,國軍高雄總醫院附設民眾診療服務處,16206,58998,0.2747,0.303,0.3481,107,4
233,國軍高雄總醫院附設民眾診療服務處,10625,49101,0.2164,0.2847,0.3153,103,4
234,國軍高雄總醫院附設民眾診療服務處,16829,55444,0.3035,0.3086,0.3496,108,2
235,國軍高雄總醫院附設民眾診療服務處,22101,59544,0.3712,0.3546,0.3986,110,1
236,國軍高雄總醫院附設民眾診療服務處,25522,62865,0.406,0.3835,0.4262,111,2
237,國軍高雄總醫院附設民眾診療服務處,23924,61860,0.3867,0.3711,0.4115,110,3
238,國軍高雄總醫院附設民眾診療服務處,11861,50517,0.2348,0.2936,0.3402,105,3
239,國軍高雄總醫院附設民眾診療服務處,11585,49034,0.2363,0.2893,0.3331,105,1
240,國軍高雄總醫院附設民眾診療服務處,26453,67097,0.3943,0.3786,0.4176,111,3
241,衛生福利部樂生療養院,2786,12952,0.2151,0.3385,0.3072,103,1
242,衛生福利部樂生療養院,4332,18035,0.2402,0.3908,0.3477,107,2
243,衛生福利部樂生療養院,5652,20260,0.279,0.4311,0.3839,109,1
244,衛生福利部樂生療養院,3529,15232,0.2317,0.3557,0.3211,104,2
245,衛生福利部樂生療養院,4760,19594,0.2429,0.3918,0.3481,107,4
246,衛生福利部樂生療養院,7649,23460,0.326,0.4617,0.4129,110,4
247,衛生福利部樂生療養院,3795,15684,0.242,0.3593,0.3235,104,3
248,衛生福利部樂生療養院,7570,21676,0.3492,0.4875,0.4263,110,2
249,衛生福利部樂生療養院,8212,23879,0.3439,0.4651,0.4176,111,3
250,衛生福利部樂生療養院,3017,13672,0.2207,0.3416,0.311,103,2
251,衛生福利部樂生療養院,4884,18541,0.2634,0.3941,0.35,107,3
252,衛生福利部樂生療養院,7747,23328,0.3321,0.4595,0.4108,111,1
253,衛生福利部樂生療養院,4209,16774,0.2509,0.3753,0.3355,105,2
254,衛生福利部樂生療養院,5147,20773,0.2478,0.3924,0.351,108,4
255,衛生福利部樂生療養院,8316,24008,0.3464,0.4686,0.4173,112,1
256,衛生福利部樂生療養院,7386,22405,0.3297,0.4607,0.4115,110,3
257,衛生福利部樂生療養院,4402,17632,0.2497,0.3783,0.3377,105,4
258,衛生福利部樂生療養院,4716,19115,0.2467,0.391,0.3496,108,2
259,衛生福利部樂生療養院,6844,22007,0.311,0.4446,0.3986,110,1
260,衛生福利部樂生療養院,3358,14546,0.2309,0.3595,0.3261,104,1
261,衛生福利部樂生療養院,4756,19005,0.2502,0.3849,0.3459,108,1
262,衛生福利部樂生療養院,4444,18209,0.2441,0.3915,0.3473,106,4
263,衛生福利部樂生療養院,4127,16745,0.2465,0.3717,0.3331,105,1
264,衛生福利部樂生療養院,6354,21598,0.2942,0.4296,0.3861,109,3
265,衛生福利部樂生療養院,4392,17856,0.246,0.3866,0.3431,106,3
266,衛生福利部樂生療養院,5005,19885,0.2517,0.3971,0.3538,108,3
267,衛生福利部樂生療養院,3976,16601,0.2395,0.364,0.327,104,4
268,衛生福利部樂生療養院,8306,23662,0.351,0.4783,0.4262,111,2
269,衛生福利部樂生療養院,4313,17593,0.2452,0.3834,0.3413,106,1
270,衛生福利部樂生療養院,6095,20378,0.2991,0.4408,0.3945,109,2
271,衛生福利部樂生療養院,4396,18365,0.2394,0.3911,0.3468,107,1
272,衛生福利部樂生療養院,4210,17193,0.2449,0.383,0.3408,106,2
273,衛生福利部樂生療養院,6222,21614,0.2879,0.4311,0.3868,109,4
274,衛生福利部樂生療養院,4278,17263,0.2478,0.3817,0.3402,105,3
275,衛生福利部樂生療養院,8697,25079,0.3468,0.47,0.4179,112,2
276,衛生福利部樂生療養院,3134,14245,0.22,0.3435,0.313,103,3
277,衛生福利部樂生療養院,3222,14631,0.2202,0.3457,0.3153,103,4
278,衛生福利部樂生療養院,8557,24896,0.3437,0.4677,0.4166,111,4
279,國軍高雄總醫院屏東分院附設民眾診療服務處,746,4624,0.1613,0.2822,0.313,103,3
280,國軍高雄總醫院屏東分院附設民眾診療服務處,1572,6188,0.254,0.3773,0.4179,112,2
281,國軍高雄總醫院屏東分院附設民眾診療服務處,851,4845,0.1756,0.2903,0.3355,105,2
282,國軍高雄總醫院屏東分院附設民眾診療服務處,1505,6563,0.2293,0.3434,0.3868,109,4
283,國軍高雄總醫院屏東分院附設民眾診療服務處,873,5066,0.1723,0.2946,0.3413,106,1
284,國軍高雄總醫院屏東分院附設民眾診療服務處,958,5382,0.178,0.297,0.3473,106,4
285,國軍高雄總醫院屏東分院附設民眾診療服務處,851,5133,0.1658,0.291,0.3377,105,4
286,國軍高雄總醫院屏東分院附設民眾診療服務處,1761,6577,0.2678,0.3835,0.4262,111,2
287,國軍高雄總醫院屏東分院附設民眾診療服務處,711,4427,0.1606,0.2862,0.3235,104,3
288,國軍高雄總醫院屏東分院附設民眾診療服務處,1149,6299,0.1824,0.3106,0.3538,108,3
289,國軍高雄總醫院屏東分院附設民眾診療服務處,1647,6549,0.2515,0.3718,0.4108,111,1
290,國軍高雄總醫院屏東分院附設民眾診療服務處,889,5207,0.1707,0.2944,0.3408,106,2
291,國軍高雄總醫院屏東分院附設民眾診療服務處,1441,6506,0.2215,0.3411,0.3861,109,3
292,國軍高雄總醫院屏東分院附設民眾診療服務處,753,4708,0.1599,0.2867,0.327,104,4
293,國軍高雄總醫院屏東分院附設民眾診療服務處,887,5235,0.1694,0.2948,0.3431,106,3
294,國軍高雄總醫院屏東分院附設民眾診療服務處,1760,6688,0.2632,0.3711,0.4115,110,3
295,國軍高雄總醫院屏東分院附設民眾診療服務處,1014,6010,0.1687,0.3064,0.3459,108,1
